DATA_MC|KOD_WOJ|WOJEWODZTWO|PLEC|WIEK|LICZBA
2021-11|02|WOJ. DOLNOŒL¥SKIE|K|40|9
2021-11|02|WOJ. DOLNOŒL¥SKIE|K|19|112
2021-11|02|WOJ. DOLNOŒL¥SKIE|K|39|14
2021-11|02|WOJ. DOLNOŒL¥SKIE|K|35|12
2021-11|02|WOJ. DOLNOŒL¥SKIE|K|63|1
2021-11|02|WOJ. DOLNOŒL¥SKIE|K|66|1
2021-11|02|WOJ. DOLNOŒL¥SKIE|K|46|6
2021-11|02|WOJ. DOLNOŒL¥SKIE|K|29|16
2021-11|02|WOJ. DOLNOŒL¥SKIE|K|48|7
2021-11|02|WOJ. DOLNOŒL¥SKIE|K|47|5
2021-11|02|WOJ. DOLNOŒL¥SKIE|K|14|1
2021-11|02|WOJ. DOLNOŒL¥SKIE|K|37|16
2021-11|02|WOJ. DOLNOŒL¥SKIE|K|24|21
2021-11|02|WOJ. DOLNOŒL¥SKIE|K|44|4
2021-11|02|WOJ. DOLNOŒL¥SKIE|K|38|10
2021-11|02|WOJ. DOLNOŒL¥SKIE|K|49|5
2021-11|02|WOJ. DOLNOŒL¥SKIE|K|34|14
2021-11|02|WOJ. DOLNOŒL¥SKIE|K|30|21
2021-11|02|WOJ. DOLNOŒL¥SKIE|K|31|25
2021-11|02|WOJ. DOLNOŒL¥SKIE|K|41|8
2021-11|02|WOJ. DOLNOŒL¥SKIE|K|20|53
2021-11|02|WOJ. DOLNOŒL¥SKIE|K|51|3
2021-11|02|WOJ. DOLNOŒL¥SKIE|K|27|27
2021-11|02|WOJ. DOLNOŒL¥SKIE|K|36|16
2021-11|02|WOJ. DOLNOŒL¥SKIE|K|33|15
2021-11|02|WOJ. DOLNOŒL¥SKIE|K|53|2
2021-11|02|WOJ. DOLNOŒL¥SKIE|K|52|3
2021-11|02|WOJ. DOLNOŒL¥SKIE|K|54|4
2021-11|02|WOJ. DOLNOŒL¥SKIE|K|16|4
2021-11|02|WOJ. DOLNOŒL¥SKIE|K|50|3
2021-11|02|WOJ. DOLNOŒL¥SKIE|K|18|446
2021-11|02|WOJ. DOLNOŒL¥SKIE|K|22|39
2021-11|02|WOJ. DOLNOŒL¥SKIE|K|25|27
2021-11|02|WOJ. DOLNOŒL¥SKIE|K|43|6
2021-11|02|WOJ. DOLNOŒL¥SKIE|K|42|6
2021-11|02|WOJ. DOLNOŒL¥SKIE|K|32|19
2021-11|02|WOJ. DOLNOŒL¥SKIE|K|56|4
2021-11|02|WOJ. DOLNOŒL¥SKIE|K|45|3
2021-11|02|WOJ. DOLNOŒL¥SKIE|K|17|2
2021-11|02|WOJ. DOLNOŒL¥SKIE|K|21|45
2021-11|02|WOJ. DOLNOŒL¥SKIE|K|55|2
2021-11|02|WOJ. DOLNOŒL¥SKIE|K|28|25
2021-11|02|WOJ. DOLNOŒL¥SKIE|K|26|27
2021-11|02|WOJ. DOLNOŒL¥SKIE|K|23|31
2021-11|02|WOJ. DOLNOŒL¥SKIE|M|18|471
2021-11|02|WOJ. DOLNOŒL¥SKIE|M|47|1
2021-11|02|WOJ. DOLNOŒL¥SKIE|M|31|9
2021-11|02|WOJ. DOLNOŒL¥SKIE|M|26|21
2021-11|02|WOJ. DOLNOŒL¥SKIE|M|42|7
2021-11|02|WOJ. DOLNOŒL¥SKIE|M|15|5
2021-11|02|WOJ. DOLNOŒL¥SKIE|M|17|8
2021-11|02|WOJ. DOLNOŒL¥SKIE|M|20|53
2021-11|02|WOJ. DOLNOŒL¥SKIE|M|21|36
2021-11|02|WOJ. DOLNOŒL¥SKIE|M|38|6
2021-11|02|WOJ. DOLNOŒL¥SKIE|M|16|15
2021-11|02|WOJ. DOLNOŒL¥SKIE|M|59|1
2021-11|02|WOJ. DOLNOŒL¥SKIE|M|29|10
2021-11|02|WOJ. DOLNOŒL¥SKIE|M|44|4
2021-11|02|WOJ. DOLNOŒL¥SKIE|M|52|1
2021-11|02|WOJ. DOLNOŒL¥SKIE|M|40|5
2021-11|02|WOJ. DOLNOŒL¥SKIE|M|36|13
2021-11|02|WOJ. DOLNOŒL¥SKIE|M|14|5
2021-11|02|WOJ. DOLNOŒL¥SKIE|M|30|18
2021-11|02|WOJ. DOLNOŒL¥SKIE|M|37|15
2021-11|02|WOJ. DOLNOŒL¥SKIE|M|22|26
2021-11|02|WOJ. DOLNOŒL¥SKIE|M|34|7
2021-11|02|WOJ. DOLNOŒL¥SKIE|M|48|1
